"";"Comp.1";"Comp.2";"Comp.3";"Comp.4";"Comp.5";"Comp.6";"Comp.7";"Comp.8";"Comp.9";"Comp.10";"Comp.11";"Comp.12";"Comp.13";"Comp.14"
"SOD.pie";0,15374269950552;0,140043394529459;0,122734044385547;0,56332023143046;0,0518200009684473;0,454691408034271;0,29118243574137;0,205308250784718;0,287052881696315;0,41742020529784;0,0337497213028367;0,0160807816261635;0,117879825779331;0,126716811077549
"SOD.tent";-0,420652068231181;0,151362442897824;-0,149408375496254;-0,0196317014384152;0,27345608987253;0,207767110065459;0,132646355537077;-0,20060775215447;-0,247187834782332;-0,00581254885866056;-0,308148451872694;0,578090347076409;-0,00844439817628637;0,333613869622262
"CAT.pie";-0,392669443179253;-0,147610506803267;0,122968828528883;0,121998544130285;-0,0239681168416239;-0,0725981333658142;0,583299956815881;0,228729029374718;-0,176396324122525;-0,342093105823056;0,105446508900605;-0,0706306754337593;0,373709128324238;-0,302830932471633
"CAT.tent";0,314167864476865;0,232768611197743;0,407645785665384;0,045166472992527;-0,000729866977352361;0,0186849560068105;-0,192965112048642;0,150080989169236;-0,550461815972856;0,105463254020579;-0,401813186593087;0,0927789382916952;0,209841288330476;-0,300943330647951
"GST.pie";-0,363326753954078;0,210005743347248;0,0916694368806945;-0,000617543097844356;-0,188921993999342;-0,440606172296724;-0,0292854233957795;0,412261478836222;-0,230441819589191;0,455894449733289;0,198885016743647;-0,0593328055619343;-0,151779172325756;0,296292724177369
"GST.tent";-0,00288638807763074;0,279078464250538;0,0944459920304846;-0,0898922952608231;0,742527790948376;-0,0600939162127513;-0,0477757818043668;0,417302588620511;0,186765414457341;-0,251841431034341;-0,0416315367171739;-0,167559201750177;-0,213100156829527;-0,0140378167989233
"DTD.pie";-0,335713702215296;0,345213723962954;-0,0912265797373175;0,243970779591753;0,0820090890269138;0,100047654596099;-0,257175296515137;-0,270807407703628;-0,036873425208799;0,120803947447091;0,365089981158921;0,0664804476085416;-0,160718889084544;-0,603800303857565
"DTD.tent";0,258335010711262;0,396874263226027;-0,191004214994123;-0,203147127802147;0,2316851031119;-0,160245442722712;0,134920033305635;-0,271346341600133;-0,101279095643776;0,113871101035768;0,356225230647425;-0,0963152737893639;0,579182054309283;0,178786611722233
"G6PDH.pie";-0,351503540592038;-0,0307110004253249;0,35936428163506;-0,26951195721269;0,123139778595428;-0,0126062335141587;0,0808202410455051;-0,363841804118199;0,266350070355265;0,371517385385531;-0,368221096832212;-0,392364008413946;0,11971165465982;-0,0815654479024794
"G6PDH.tent";-0,0105561681678806;-0,173325144759786;0,636006726381564;0,109459426275251;0,101752354684055;-0,241597371772823;-0,21597212433301;-0,128341361851379;0,259116291066755;-0,115446571419207;0,304909407632123;0,450298875678629;0,170095084045755;0,127993824293442
"MDA.pie.2";0,112088584373321;-0,446511903168695;0,179752083275548;-0,0982738587365195;0,345447205514557;0,239579690337188;0,158925218304543;-0,143680833120759;-0,482079396046289;0,215733268265041;0,370650502939441;-0,138268954606395;-0,290987911501328;0,0578415878404643
"MDA.tent.2";0,163535010995298;0,201093985877036;0,124481690413451;-0,593221260165949;-0,180645427512328;0,135927278626609;0,382256678517144;0,148177858030342;0,196183049674857;0,15339862661588;0,130399635060388;0,385159036334029;-0,216765749831503;-0,268079553124443
"TEAC.pie";-0,231121802756119;0,214669667831113;0,239706727964248;-0,244161020689233;-0,254430330464764;0,59448986304019;-0,284833683999529;0,122976442342127;-0,0735193096537533;-0,280969826003015;0,214649188050672;-0,226767563572226;0,130531264482541;0,264828167829724
"TEAC.tent";0,136667268075731;0,407380368345229;0,283329809967103;0,225139679405237;-0,179723819096251;-0,15236359284605;0,356338545259076;-0,380947351748605;-0,0916299745980948;-0,31366098757638;-0,0289910957915482;-0,176226212828746;-0,425026080108283;0,193555366188069
